,academy_lat,academy_long,lesson_price,service_rate,lecutre_rate,facility_rate,academy_name,academy_id,state
0,35.9761157,126.783386,720000.0,4.3,4.3,3.0,퍼스트,hnZqfcO3MsDd5ATKKuGu,1.0
1,35.5327295918461,129.337131986491,731500.0,4.0,4.0,4.0,신삼성,kMRcWI5OsWcvD656dYDq,1.0
3,37.6599068,127.0431592,759000.0,4.6,4.3,3.9,창동,aL1qG0sqv4OmscS55Xpz,1.0
6,37.8038459302036,127.098244602799,736000.0,4.5,4.4,4.1,한미,Ct8H8g2g21PrEt4DHUoH,1.0
7,35.8957807,128.6264346,737000.0,4.3,4.2,3.9,안전,u6WfsKt7CroUmhG7mf54,1.0
9,35.9096702,128.6244679,737000.0,4.6,4.5,4.2,청구,tgAyP4WIv2IODXQhVRIh,1.0
12,35.8761854605859,128.539702813322,727000.0,4.5,4.5,4.5,서대구,YNwzLg7D7cydDUHkSTUS,1.0
13,36.0230429,128.3833804,704000.0,4.8,4.8,4.2,왜관,35CDpdcufRMPuCTiLEhG,1.0
14,37.268667,127.064155,748000.0,4.3,4.3,4.7,수원현대,ndbdRgTrbGsZ9Anphtbp,1.0
15,35.1381803782445,128.172772432634,821700.0,5.0,5.0,3.0,서부경남,sVLpxoCFbiqY9eP9RFoc,1.0
16,37.3124632,127.4512918,850000.0,4.5,4.5,4.5,이천제일,XfY9MvZuXlCeWpreDe1c,1.0
20,35.8959964,128.5464457,738000.0,4.2,4.2,4.2,동양,QLN0dYXZ1hHPjiTD4iw9,1.0
25,37.7016069,126.8142588,841500.0,4.0,4.3,4.0,신일,593fExEwBSRe1vMmMbC7,1.0
26,37.6501247147598,126.65109222667,825000.0,4.0,5.0,3.5,서부,Jeffzuu815rTpZTFw12N,1.0
29,35.4980768,129.3066389,695200.0,4.0,4.0,4.0,신정,hAllqm62rvWkKbIWGHEf,1.0
31,36.8444315,127.1550558,885500.0,4.0,5.0,4.0,천안중앙,3mi3ZvqYS275OuGAumFN,1.0
32,37.1460485,127.141587,789000.0,5.0,5.0,5.0,e동탄,C6KXw5pqsZCKO22Ko3Qv,1.0
33,36.8277268,127.154466,885500.0,4.5,5.0,4.0,천안,6qZWlt4osq55zHzbMGar,1.0
43,35.963357,129.4194205,740300.0,4.5,5.0,4.5,포항현대,AKNmDow32mnrmGsEcOyx,1.0
47,36.784449,127.1440106,884500.0,5.0,4.5,4.5,천안대성,PccbtqKkN7Vx8kBcWGop,1.0
53,36.709281,127.5272984,850000.0,4.5,4.5,4.5,덕일,IKpZZH9jcSMEGH1sQ2iY,1.0
57,35.2736248478451,126.973036242711,521000.0,4.5,4.0,3.5,우양,z9DeYip6mGzbwIkmzb20,1.0
66,36.999987231162,127.187652232228,836000.0,4.5,5.0,4.5,공도삼성,HNK4OMPZs95JJr1CgUH7,1.0
72,36.0973568,127.458722,737400.0,4.5,4.5,3.5,금산,jV8NSCZ8tOhWPiE0tgh7,1.0
83,33.4032597,126.3854523,753500.0,5.0,5.0,4.0,현대,D2sqPHdqrmuerQurjyWx,1.0
84,35.7354194,126.75754,632200.0,5.0,5.0,3.0,참길,H0Zl09Zy1e3TJ8IrUNGK,1.0
85,37.4223658,126.9052063,825000.0,4.0,4.0,3.3,안양,5X0f10OuqeKaUmHFzCQG,0.0
87,36.6961837,126.7859525,830500.0,4.5,4.5,4.5,예산,wlc9HvFqiHUF3ASuWePJ,1.0
88,37.7168931906921,127.206648380153,790000.0,4.5,5.0,5.0,양원,pcjzyjHkbKDEtXz2WgFX,1.0
92,35.1680025,129.087015,778000.0,4.3,4.5,3.7,하이,Fm7K8G84yGhx5afH7Zhn,1.0
95,37.2676356,127.06525,748000.0,4.5,4.0,4.5,수원원천,FPM9ycTzLmFTSDJg5ull,0.0
102,37.017086,127.13568,834000.0,4.0,4.0,4.0,e편한,b4agfudCSZPdVjRCb5bZ,0.0
106,37.227666,127.122781,583000.0,4.0,3.5,2.5,청룡,rZwEF7XiAC7pzSiUFk5z,1.0
116,37.6674189,127.4936976,690000.0,5.0,5.0,5.0,뉴강남,1yyMKNljZeSCdsTbBp2i,1.0
117,37.6815278,126.6037998,805000.0,2.5,3.5,2.0,한강,25lOXfYij7y8XQsGJAIZ,1.0
118,37.5029574,126.6487005,855800.0,4.5,4.0,4.5,한성,Xk2vFSzz4CVOC7AArtWw,0.0
129,36.2987859,127.5414623,803000.0,4.0,4.0,4.0,옥천,CxFj5h6O0f8uCuDrkHEe,1.0
138,37.85191,127.1942842,750000.0,5.0,5.0,4.0,대진,M3iAmzacROKlcOaVAsk5,1.0
139,37.0889002527149,127.057179932446,839000.0,5.0,5.0,5.0,송탄역,G8QnGz7vJWwsGBEzOfEL,1.0
145,37.8484213892633,127.050972617185,730000.0,4.0,4.5,4.5,북부중앙,xssGISppalk7lLraIlQo,1.0
163,37.6947699335804,126.721195596852,841500.0,5.0,5.0,4.5,신원,4Yr8UZBubJ9gpVeNVKtB,1.0
165,35.8453640165641,128.744710078661,730000.0,4.3,4.0,4.3,경산수성,BXNsrqF6jUE1r3E8h0oA,1.0
179,36.6821058,127.5052256,869000.0,5.0,5.0,4.0,대영,sNgSGFeNHBorptP3tcep,1.0
186,36.8637553,127.4345847,849000.0,5.0,4.7,4.7,진천,XvCJB3liPUakH1R98UkR,1.0
197,36.6523777,127.269802,775500.0,4.5,4.5,4.5,세종현대,QTuqfLh60OcObFaSrvKV,1.0
238,37.1619284,127.0283123,836000.0,4.0,4.0,4.0,카카오,SHF2rCT8jxWOWiSk4KMS,1.0
247,37.405309,127.2295051,616000.0,4.0,5.0,3.5,모란,Pi8o2tGE3v819jOjfwoD,0.0
256,37.526388,126.755622,759000.0,4.5,5.0,5.0,신진,UPelWpMgnDVn0Xt5mb0y,0.0
258,37.3308589,127.0857492,698500.0,4.9,4.4,3.8,수지풍덕,4JdmwYWHSVROausQGFbv,0.0
260,38.233861920031,128.544489425815,690000.0,4.0,4.5,4.5,설악산,VioGYtKvrhBYVE0idQYc,1.0
276,37.2513125,126.5974106,792000.0,4.0,4.5,5.0,뉴현대,XCLY6VTwhknVccKSBxTn,1.0
298,35.1540672,126.6609108,682000.0,4.7,4.3,3.3,용성,9vrkyRzJJPWj4CuRUp70,1.0
322,36.5913157428869,127.471062078462,864000.0,5.0,5.0,4.5,아주,pYLxlFj7QMVzRVpk5gar,1.0
429,33.5014137808934,126.609618638458,764500.0,5.0,4.0,5.0,삼다,khkpaweAjBOtMSTGVVQZ,1.0
443,36.4505899,127.1550079,782100.0,4.5,4.5,5.0,공주,HyZcALCiY48myKdcrhvI,1.0
461,36.6787196,127.480993,864000.0,4.0,4.0,4.0,충북,02GtHnCzNTp3Req62tNd,1.0
468,35.9074079,128.8250453,715000.0,4.5,4.5,3.5,하양,IU6S2KXuyLTuNpgSfrNk,1.0
477,37.2434556,126.9606876,781000.0,4.0,4.0,3.0,뉴삼성,ev8fqjckrB7wpRXjm4wC,0.0
482,37.0444007,127.0643295,838200.0,5.0,5.0,4.0,평택삼성,NPpo62Ddk5tmXQGAAcbb,1.0
487,37.0911512,126.8287554,792000.0,4.0,4.0,5.0,화성향남,fu8ErVoVe0JGFqbzfU2x,1.0
488,37.5452144,126.6478611,809600.0,4.0,4.0,5.0,대우,7TMTGmecRjTAMxa5LVst,0.0
493,36.5497734,128.7133592,847000.0,5.0,5.0,4.0,안동새한,hvwNKwBBnzKmIMUB4fUv,1.0
557,36.4926899,127.2117552,788700.0,5.0,4.5,4.0,신관,XR1bcuHAUm4F9MRsCr68,1.0
581,37.5533162,126.746005,790000.0,4.0,4.0,4.0,한양,yJkJwLkccYWWEPqdZoAa,1.0
