,academy_lat,academy_long,lesson_price,service_rate,lecutre_rate,facility_rate,academy_name,academy_id,state
2,37.3133680182061,127.894369330413,858000,4.5,4.5,4.0,흥업,NFKwhqUvdDIxYdtyIOE8,1
19,33.4032956446708,126.385746794734,753500,5.0,5.0,4.0,현대,D2sqPHdqrmuerQurjyWx,1
40,37.9151498647604,127.215152304015,735000,4.5,4.5,4.5,행운,Vm0ZEDAayHs7kWTJAA7L,1
41,37.5534460475396,126.745292729904,829500,4.7,4.7,4.7,한양,yJkJwLkccYWWEPqdZoAa,1
70,37.8038388156607,127.098240959734,737000,4.5,4.4,4.1,한미,Ct8H8g2g21PrEt4DHUoH,1
399,35.1683485801291,129.087268081011,778000,4.4,4.6,3.9,하이,Fm7K8G84yGhx5afH7Zhn,1
453,37.8395911956813,126.819287629189,760000,5.0,5.0,5.0,하예서부,z5NDkv4bqsOVF5i0KEHy,1
457,35.9074121749795,128.824606136162,715000,4.7,4.7,4.7,하양,IU6S2KXuyLTuNpgSfrNk,1
473,35.963342361303,129.419927258812,740300,4.5,5.0,4.5,포항현대,AKNmDow32mnrmGsEcOyx,1
477,35.9759365495217,126.782911600353,720000,4.8,4.8,3.4,퍼스트,hnZqfcO3MsDd5ATKKuGu,1
575,36.6787573028039,127.481010951715,864000,4.7,4.3,4.3,충북,02GtHnCzNTp3Req62tNd,1
588,36.1683631385135,128.319941938927,760100,5.0,4.7,4.7,최신,NDirOiMovgjGNBCRYFwR,1
590,36.6540358391678,127.424576767026,768000,4.5,5.0,4.5,청주삼성,O11kxsTEpKkthGqvpYIf,1
600,37.2250697963009,127.128313957035,583000,5.0,4.5,4.0,청룡,rZwEF7XiAC7pzSiUFk5z,1
647,35.9096878172908,128.624449964543,737000,4.7,4.7,4.4,청구,tgAyP4WIv2IODXQhVRIh,1
1066,36.8444315,127.1550558,885500,4.3,4.7,4.3,천안중앙,3mi3ZvqYS275OuGAumFN,1
1074,36.8381867,127.106315,884510,5.0,5.0,5.0,천안불당,5oY81sHfmt9jHP3t8blj,1
1088,36.7844943625844,127.144034979887,884500,5.0,4.5,4.5,천안대성,PccbtqKkN7Vx8kBcWGop,1
1102,36.8278670415696,127.153578305547,885500,4.5,5.0,4.0,천안,6qZWlt4osq55zHzbMGar,1
1145,37.6594678039701,127.042950889775,759000,4.8,4.6,4.3,창동,aL1qG0sqv4OmscS55Xpz,1
1355,35.7354264719668,126.757540612158,632200,5.0,5.0,4.0,참길,H0Zl09Zy1e3TJ8IrUNGK,1
1372,36.8637825680272,127.434589281395,849000,5.0,4.7,4.7,진천,XvCJB3liPUakH1R98UkR,1
1375,36.8444315,127.1550558,885500,4.3,4.7,4.3,중앙삼성,3mi3ZvqYS275OuGAumFN,1
1383,36.9664371280998,127.851243760866,735000,4.5,4.5,5.0,중앙,blzVkLYZ3ykUvjTGV4qV,1
1385,35.1291749,128.102649,669400,4.5,5.0,4.5,정촌,WpLb4LnEktW4pAVoIhWM,1
1401,37.3125859123104,127.452040487363,850000,4.6,4.6,4.6,이천제일,XfY9MvZuXlCeWpreDe1c,1
1625,33.2724298891354,126.690465971235,789800,4.5,5.0,5.0,원영,ZJawK6iLTTE4mYm4ndy9,1
1659,35.2740129765658,126.97189479957,576000,4.5,4.5,4.0,우양,z9DeYip6mGzbwIkmzb20,1
1688,36.0508783048781,128.339031312382,704000,4.5,4.5,4.3,우리,InqsH7gyOaa65kdbr3f3,1
1699,37.8045709202875,127.486786050764,698000,5.0,4.8,4.5,우리,ljMjkasNYUKX2MreTLqC,1
1710,36.768772598282,126.992598830038,885500,5.0,4.5,3.5,용화,qaHvS0nLSw77NZDCmDRj,1
1716,37.2775762,127.197126,780000,4.5,5.0,5.0,용인,homCBU2h2Yg7p6berPax,1
1726,35.1538434592946,126.660566031039,682000,4.8,4.6,4.2,용성,9vrkyRzJJPWj4CuRUp70,1
1759,36.0225702491758,128.383615170774,704000,4.8,4.8,4.2,왜관,35CDpdcufRMPuCTiLEhG,1
1892,36.2987755158177,127.541797271403,799000,4.0,4.0,4.0,옥천,CxFj5h6O0f8uCuDrkHEe,1
1911,37.479193037427,127.0259206404,845000,4.0,4.0,4.0,양재,ciaUcB5L4ziqHFcHfJbE,1
1951,37.7169374980165,127.206711450416,790000,4.5,5.0,5.0,양원,pcjzyjHkbKDEtXz2WgFX,1
1961,35.8959461256364,128.626328945842,737000,4.5,4.4,4.2,안전,u6WfsKt7CroUmhG7mf54,1
2415,36.5502168590099,128.713788197508,847000,5.0,4.8,4.4,안동새한,hvwNKwBBnzKmIMUB4fUv,1
2430,36.591340587112,127.471068934367,864000,5.0,5.0,4.5,아주,pYLxlFj7QMVzRVpk5gar,1
2441,35.4983482150602,129.306678394917,695200,4.5,4.8,4.3,신정,hAllqm62rvWkKbIWGHEf,1
2449,37.7017027124301,126.814145000144,841500,4.0,4.3,4.0,신일,593fExEwBSRe1vMmMbC7,1
2588,37.6945105643973,126.720329406846,841500,5.0,5.0,4.5,신원,4Yr8UZBubJ9gpVeNVKtB,1
2589,35.5329159694512,129.336009712421,731500,4.7,4.7,4.0,신삼성,kMRcWI5OsWcvD656dYDq,1
2601,36.4927609344894,127.211865022142,788700,5.0,4.7,4.0,신관,XR1bcuHAUm4F9MRsCr68,1
2628,36.6526567201562,127.269665678485,775500,4.5,4.5,4.5,세종현대,QTuqfLh60OcObFaSrvKV,1
